numero_proyecto,fecha_ingreso,iniciativa,proyecto_suma,numero_ley,fecha_publicacion
17286-05,2024-12-09,Mensaje,"Otorga reajuste general de remuneraciones a las y los trabajadores del sector público, concede aguinaldos que señala, concede otros beneficios que indica, y modifica diversos cuerpos legales",21724,2025-01-03
16078-08,2023-07-10,Mensaje,"Modifica la Ley General de Servicios Eléctricos, en materia de transición energética que posiciona a la transmisión eléctrica como un sector habilitante para la carbono neutralidad",21721,2024-12-27
13062-24,2019-10-30,Moción,"Autoriza a erigir un memorial en homenaje a los trabajadores de la mina El Teniente, fallecidos producto de catástrofes naturales o accidentes del trabajo, entre los años 1905 y 2023",21715,2024-12-23
15297-24,2022-08-18,Moción,Autoriza construir un monumento en homenaje a la primera mujer minera,21714,2024-12-23
16598-15,2024-01-22,Mensaje,"Prohíbe la fabricación, comercialización, importación, exportación, utilización, tenencia y porte de dispositivos electrónicos aptos para interceptar, interferir o interrumpir cualquier tipo de señal que se emita a través de un servicio de telecomunicaciones, y establece sanciones en caso de incumplimiento",21720,2024-12-17
17142-05,2024-09-30,Mensaje,Ley de Presupuestos para el Sector Público correspondiente al año 2025,21722,2024-12-13
11144-07,2017-03-15,Mensaje,Regula la protección y el tratamiento de los datos personales y crea la Agencia de Protección de Datos Personales.,21719,2024-12-13
11092-07,2017-01-17,Moción,Sobre protección de datos personales.,21719,2024-12-13
15534-14,2022-11-25,Moción,Dicta normas sobre agilización de permisos de construcción,21718,2024-11-29
16323-25,2023-09-27,Mensaje,Establece normas para la realización de funerales de riesgo y modifica otros cuerpos legales,21717,2024-11-25
13869-29,2020-11-03,Mensaje,Dispone la obligatoriedad de la adopción del régimen de federación deportiva nacional para aquellas entidades que reciben recursos públicos de manera permanente,21712,2024-11-21
14994-24,2022-05-16,Moción,"Declara el 12 de mayo de cada año como el Día de la Libertad de Información, del Derecho a la Comunicación y del Periodismo Independiente y Comunitario",21710,2024-11-15
12383-03,2019-01-15,Moción,"Modifica la ley N° 19.496, que Establece normas sobre protección de los derechos de los consumidores, en el sentido de exigir a los proveedores informar a sus clientes sobre planes y servicios que puedan resultarles más beneficiosos",21708,2024-11-15
