numero_proyecto,fecha_ingreso,iniciativa,proyecto_suma,numero_ley,fecha_publicacion
17286-05,2024-12-09,Mensaje,"Otorga reajuste general de remuneraciones a las y los trabajadores del sector público, concede aguinaldos que señala, concede otros beneficios que indica, y modifica diversos cuerpos legales",21724,2025-01-03
16078-08,2023-07-10,Mensaje,"Modifica la Ley General de Servicios Eléctricos, en materia de transición energética que posiciona a la transmisión eléctrica como un sector habilitante para la carbono neutralidad",21721,2024-12-27
16598-15,2024-01-22,Mensaje,"Prohíbe la fabricación, comercialización, importación, exportación, utilización, tenencia y porte de dispositivos electrónicos aptos para interceptar, interferir o interrumpir cualquier tipo de señal que se emita a través de un servicio de telecomunicaciones, y establece sanciones en caso de incumplimiento",21720,2024-12-17
17142-05,2024-09-30,Mensaje,Ley de Presupuestos para el Sector Público correspondiente al año 2025,21722,2024-12-13
16323-25,2023-09-27,Mensaje,Establece normas para la realización de funerales de riesgo y modifica otros cuerpos legales,21717,2024-11-25
17205-05,2024-10-28,Mensaje,Modifica la ley N° 21.713 en relación al concepto de abuso en materia tributaria y a la vigencia de algunas de sus disposiciones,21716,2024-11-13
15831-04,2023-04-11,Moción,Modifica la ley N°21.091 para prohibir que la rendición de evaluaciones y la entrega de títulos sea condicionada al pago de deudas arancelarias contraídas con las instituciones de educación superior,21707,2024-11-02
16621-05,2024-01-29,Mensaje,"Dicta normas para asegurar el cumplimiento de las obligaciones tributarias dentro del Pacto por el Crecimiento Económico, el Progreso Social y la Responsabilidad Fiscal",21713,2024-10-24
15960-11,2023-05-22,Moción,Modifica el Código Sanitario para permitir que las ceremonias fúnebres de los Cuerpos de Bomberos puedan efectuarse en un horario especial,21703,2024-10-23
16386-21,2023-10-23,Moción,Establece excepción a la Ley General de Pesca y Acuicultura en materia de remanente no consumido de cuotas anuales de captura para los recursos y regiones que indica,21699,2024-10-17
16468-24,2023-11-29,Moción,Instituye el 15 de mayo de cada año como el Día Nacional de Concientización sobre la Vasculitis,21697,2024-09-28
17065-15,2024-08-27,Moción,"Autoriza la circulación en el país de los vehículos que participarán en el Campeonato Mundial Rally WRC 2024, en la región de Biobío",21705,2024-09-26
