numero_ley,materias,resumen
21724,"Reajuste de Remuneraciones,Trabajadores del Sector Público,Funcionarios Públicos,Remuneraciones del Sector Público,Aguinaldos,Reajuste de Remuneraciones del Sector Público,Incentivo al Retiro","La presente ley tiene por objeto otorgar un reajuste a las remuneraciones de los trabajadores y trabajadoras del sector público, considerando un incremento general de un 3% a partir de diciembre de 2024, con aumentos adicionales de un 1,2% en enero de 2025, y un 0,64% en junio de 2025.      Asimismo, concede aguinaldos como el de Navidad y Fiestas patrias, contempla un bono de escolaridad y de vacaciones; y otros beneficios específicos que la propia ley señala, estableciendo las condiciones y requisitos para su otorgamiento.     Para dichos fines la ley modifica una serie de cuerpos legales, y establece la forma de su financiamiento."
21721,"Ley General de Servicios Eléctricos,Transmisión Eléctrica,Carbono Neutralidad,Ley de Transición Energética,Comisión Nacional de Energía,Energía Eléctrica,Electricidad,Licitaciones de Obras de Sistemas de Transmisión Eléctrica","La presente ley, introduce modificaciones al Decreto con Fuerza de Ley N° 4/20018 que regula la Ley General de Servicios Eléctricos en materia de energía eléctrica, con énfasis en los sistemas de generación, almacenamiento, transmisión y ampliación de infraestructura eléctrica con el objeto de modernizar y optimizar la regulación del sector eléctrico en Chile, promoviendo eficiencia, transparencia y capacidad de respuesta ante demandas y necesidades del sistema.     Los cambios principales incluyen:a) Actualización de términos técnicos: Incorporación de los sistemas de almacenamiento de energía como parte de los medios conectados a redes de distribución y transmisión.b) Criterios diferenciados en la planificación: Regulación específica para la expansión de transmisión zonal basada en impacto, capacidad y ubicación.c) Garantías para proyectos futuros: Requisitos para obras de transmisión relacionadas con proyectos de generación o almacenamiento aún no construidos.d) Procedimiento para obras urgentes: Se incorpora un nuevo artículo 91° bis, que regula las obras necesarias y urgentes excluidas del proceso normal de planificación, estableciendo límites de costos y requisitos técnicos para su aprobación y licitación.e) Licitaciones transparentes: Revisión de procedimientos y criterios para licitaciones de obras de expansión, incluyendo reglas de competencia, auditorías, garantías y sanciones.f) Modificaciones en responsabilidades: Respecto de la ejecución y adjudicación de proyectos de ampliación, con reglas claras en caso de términos anticipados de contratos.g) Propuestas de ampliación por privados: Las empresas generadoras pueden proponer y financiar obras de ampliación bajo su responsabilidad para maximizar el uso de su capacidad de generación.h) Pagos por uso de transmisión: Ajustes en los cargos y pagos realizados por el uso de sistemas de transmisión por medios de generación y almacenamiento.     En las disposiciones transitorias, para asegurar una transición ordenada y equitativa hacia el nuevo marco regulatorio, se establece:- Plazos para reglamentos: El Ministerio de Energía tiene un año para dictar o modificar reglamentos, mientras que la Comisión Nacional de Energía podrá establecer resoluciones provisionales en 90 días.- Revisión del valor de inversión (V.I.): Los propietarios y adjudicatarios de obras de ampliación adjudicadas antes de la entrada en vigencia de la ley pueden solicitar la revisión del V.I., sujeto a límites y requisitos específicos, como cambios técnicos, costos imprevistos y retrasos por obras vinculadas.- Contratos terminados: Obras con contratos terminados de forma anticipada seguirán las normas vigentes en la Ley General de Servicios Eléctricos y podrán solicitar revisión del V.I. según procedimientos establecidos.- Licitaciones previas: Obras licitadas antes de la ley continuarán bajo el marco normativo anterior, mientras que las pendientes deben convocarse en un plazo de nueve meses.- Región de Ñuble: Durante los próximos cinco años se podrán aumentar, en esta región, en un 5% el límite de costo establecido para obras calificadas como necesarias y urgentes, reguladas en el artículo 91 bis de la Ley General de Servicios Eléctricos (incorporado por esta ley), las que se excluyen del proceso de planificación de la transmisión"
21720,,"La presente ley, agrega la letra h) al artículo 36 B de la ley 18.168, General de Telecomunicaciones, con el objeto de prohibir la fabricación, comercialización, importación, exportación, utilización, tenencia y porte de dispositivos electrónicos aptos para interceptar, interferir o interrumpir cualquier tipo de señal que se emita a través de un servicio de telecomunicaciones, tipificándolo como delito de acción penal pública.     Se exceptúa de esta prohibición a las Fuerzas Armadas y de Orden, sus dependientes, sociedades a cargo de concesión de cárceles y a la Agencia Nacional de Inteligencia.      Asimismo, establece que el Ministerio a cargo de la seguridad, mediante reglamento, podrá autorizar excepcionalmente a ciertas personas a realizar los actos prohibidos, solo con el fin de celebrar contratos y actos con las instituciones señaladas; las que además deberán tener un giro en la materia. Este reglamento debe ser dictado en el plazo de seis meses después de la publicación de la presente ley en el Diario Oficial.     Se establecen las penas para distintas formas de comisión del delito: 1) El que fabrique, comercialice, adquiera, utilice, tenga o porte uno o más de los dispositivos alguno de dichos dispositivos, la pena de presidio menor en su grado medio, esto es 541 días a 3 años y multa de 50 a 100 UTM y comiso; 2) El que interfiera, intercepte o interrumpa señales de naves, aeronaves o torres de control de tráfico aéreo; redes o servicios de telecomunicaciones de servicios esenciales o de aquellos de especial relevancia para el orden y seguridad pública, la defensa nacional o el sistema de inteligencia del Estado a través de estos dispositivos, con pena de presidio mayor en su grado mínimo, esto es entre 5 años y 1 día a 10 años y multa de 100 a 5000 UTM; 3) Por importar o exportar estos dispositivos, en caso de que su valor no exceda 20 UTM, con  pena de presidio menor en su grado medio, esto es 541 días a 3 años y multa de 2 a 5 veces el valor de la mercancía ilícita.      Respecto de la vigencia, se establece que entrará a regir tres meses después de la publicación en el Diario Oficial del reglamento a que se refiere la presente ley Asimismo, establece que no se sancionará con las penas establecidas a quienes entreguen voluntariamente a las Fuerzas de Orden y Seguridad Pública tales dispositivos dentro del plazo de ciento veinte días contado desde la entrada en vigencia de esta ley, siempre que no se haya formalizado una investigación penal en su contra."
21722,"Ley de Presupuesto 2025,Presupuesto 2025,Presupuesto Sector Público,Ley de Presupuestos del Sector Público,Gasto de la Nación,Gasto del Sector Público","La presente ley aprueba el presupuesto de ingresos y gastos del sector público para el año 2025. Fija y limita el gasto de la nación y establece formas de utilización. Además, la ley busca regular diversos aspectos de la administración financiera del Estado, incluyendo endeudamiento, transferencias de recursos, contratación de personal, entre otros.         A continuación, un resumen de algunas de sus disposiciones:- En cuanto al presupuesto propiamente tal, se detalla los montos asignados en moneda nacional como extranjera.- Autoriza al Presidente de la República para otorgar la garantía del Estado a créditos y bonos de empresas públicas y universidades estatales, hasta por US$500.000.000. Las empresas deben suscribir un convenio de programación con el Comité Sistema de Empresas de la Corporación de Fomento de la Producción.- Asimismo, autoriza al Presidente para contraer obligaciones en el país o en el extranjero por hasta US$ 16.000.000 miles, que se incluyen en los Ingresos Generales de la Nación, así como un monto adicional de US$ 1.500.000 miles o su equivalente en monedas extranjeras o en moneda nacional.- En materia de límites de gastos, establece que solo mediante autorización legal se puede incrementar la suma del valor neto de gastos en personal, bienes y servicios, prestaciones de seguridad social, transferencias corrientes y otros gastos corrientes. Igual autorización se requiere para aumentar la suma de activos no financieros, iniciativas de inversión y transferencias de capital a organismos o empresas no incluidas en la ley, en más de un 10%, bajo las demás condiciones que la propia ley señala.- Suspende la aplicación de ciertas normas sobre compatibilidad de cargos para funcionarios de planta establecidos en la ley con cargos a contrata. Además, la ley autoriza a contratar personal que reemplace a funcionarias/os que por cualquier razón se encuentren imposibilitados para desempeñar sus labores por un periodo superior a treinta días corridos, con los requisitos y límites que la ley señala. También, se establece un número máximo de personas que pueden cambiar su calidad jurídica de honorarios a contrata para el año 2025.- Establece la obligatoriedad de licitación pública para proyectos y programas de inversión y estudios básicos, superando ciertos montos, salvo en situaciones de emergencia. Las empresas que no cumplan con las leyes laborales y previsionales serán calificadas con nota deficiente.- Respecto de transferencias, la ley permite indicar el uso y destino de las transferencias a órganos y servicios públicos. Las transferencias a instituciones privadas, salvo excepciones, deben ser por concurso público. Se establecen requisitos y prohibiciones para los convenios de transferencias.- Contempla normas relacionadas con el deber que tienen los órganos del Estado y otros que específica la ley, de informar a la Comisión Mixta de Presupuestos con copia a la Biblioteca del Congreso Nacional, sobre cronogramas de gastos, informes de estudios e investigaciones, información sobre publicidad y difusión, comisiones de servicio, contrataciones y desvinculaciones, licencias médicas, arriendos, ejecución de proyectos de inversión, entre otros.- Por otra parte, señala que el producto de las ventas de bienes inmuebles fiscales que indica, que efectúe durante el año 2025 el Ministerio de Bienes Nacionales, y las cuotas que se reciban en dicho año por ventas efectuadas en años anteriores, se incorporarán transitoriamente como ingreso presupuestario de dicho ministerio, y sobre el destino de dichos recursos.- También estatuye normas relacionadas con emergencias, estableciendo procedimientos para el manejo de recursos en casos de emergencia, desastre o catástrofe.- En otro orden, contempla el traspaso de recursos y de personal honorarios del programa Plan Buen Vivir desde el Ministerio Secretaría General de la Presidencia al Ministerio del Interior, entidad que queda como sucesora y continuadora legal para el desarrollo del referido Plan.- Contempla la suspensión de todo procedimiento de Espacio Costero Marino de los Pueblos Originarios contemplados en la ley N° 20.249, y regula aquellos procedimientos que se encuentran en tramitación y sus efectos.- Dispone que el Ministerio de Hacienda deberá mantener una plataforma informática en la que publicará información detallada sobre los recursos asignados, ejecución mensual a nivel transaccional para los organismos que conforman el Gobierno Central y los respectivos respaldos documentales. Se publicará esta información en forma detallada por regiones, así como los principales receptores de recursos y proveedores del Estado.     Finalmente, la ley establece que sus disposiciones regirán a partir del 1 de enero de 2025, sin perjuicio de que puedan dictarse los decretos, resoluciones y convenios necesarios para su ejecución a partir de la fecha de su publicación."
21717,"Funerales,Código Penal,Código Civil,Ley sobre Registro Civil,Delegado Presidencial Regional,Carabineros de Chile,Seguridad Ciudadana,Narcotráfico,Delincuencia,Crimen Organizado,Servicio Médico Legal,Policía de Investigaciones de Chile,Ley de Drogas (Ley 20000)","La presente ley tiene por objeto regular la realización de funerales en los que existan circunstancias que representen fundadamente un riesgo para la seguridad y el orden público, estableciendo un procedimiento, las medidas de control y las sanciones para los delitos cometidos con ocasión de ellos, disponiendo asimismo, la modificación de otros cuerpos legales.     Entre los aspectos principales de la ley, se destacan los siguientes:     Establece que la autoridad encargada de efectuar la calificación de funeral de riesgo es el Delegado o Delegada Presidencial Regional, mediante resolución fundada, y de conformidad al reglamento de la propia ley. En dicha resolución, deberá considerar un informe técnico que deberá elaborar Carabineros de Chile, en el que se deberá consignar los antecedentes delictuales del fallecido, las circunstancias del deceso y los demás criterios que defina el reglamento de la ley. Para efectuar esta calificación, dicha autoridad deberá requerir información a Policía de Investigaciones y Gendarmería de Chile.     Por su parte, la ley dispone que la resolución del Delegado o Delegada Presidencial que corresponda se deberá notificar personalmente a los familiares directos del fallecido inmediatamente después de su dictación, bajo el orden de prelación y cumpliendo los demás requisitos señalados en la ley.     En cuanto a la sepultación o cremación de la persona fallecida, esta se debe realizar en un plazo máximo de 24 horas desde la notificación de la resolución, lo que comprende la inscripción de la defunción en el Servicio de Registro Civil e Identificación y el traslado del fallecido directamente hasta el lugar donde se realizará el funeral. Además, se contemplan una serie de medidas de carácter administrativa tendientes a agilizar y garantizar que el proceso funerario se lleve a efecto en este plazo.     En materia reglamentaria, se estatuye que el Ministerio encargado de la seguridad pública será organismo encargado de dictar un reglamento, el que deberá contemplar la metodología y los antecedentes necesarios para la calificación de un funeral de riesgo, debiendo contener, a lo menos: 1) Los criterios de calificación (por ejemplo, antecedentes delictuales del fallecido, vinculación con el crimen organizado o el narcotráfico, entre otros); 2) Los canales de información entre el Delegado/a Presidencial y Policía de Investigaciones y Gendarmería, y los demás órganos de la Administración del Estado; 3) Canales de comunicación públicos para recibir denuncias sobre la ocurrencia de estos funerales.     Este reglamento se deberá dictar dentro de los seis meses contados desde la publicación de esta ley.     En otro orden de ideas, la ley establece que si con ocasión de un funeral de riesgo se comete alguno de los ilícitos indicados en su artículo 14, ya sea dentro del recinto de la sepultación o cremación, durante la ceremonia, en las inmediaciones o durante el traslado del cortejo fúnebre, serán sancionados de acuerdo al delito que se trate, pero con las penas agravadas.     Asimismo, se establece la facultad de Carabineros de Chile para determinar el trayecto por el cual será trasladado el cuerpo al lugar de sepultación o cremación, de garantizar la seguridad durante el proceso funerario y de controlar la identidad de los participantes. También podrá impedir el ingreso de elementos que por su naturaleza, dimensiones o características puedan causar daños o alterar el orden, como también, rechazar la entrada de personas bajo la influencia de alcohol o drogas, aplicando pruebas de detección cuando sea necesario. La administración del cementerio podrá solicitar su apoyo en estas tareas. Los procedimientos y directrices se detallarán en el reglamento correspondiente.     Para cumplir con sus objetivos, la ley ordena la modificación del artículo 46 de la ley N°4.808, sobre Registro Civil, cuyo texto refundido, coordinado y sistematizado fue fijado por el artículo 3° del decreto con fuerza de ley N° 1, de 2000, del Ministerio de Justicia; y del artículo 320 del Código Penal.     Finalmente, en cuanto a la entrada en vigencia de la ley, el artículo segundo transitorio de la ley,  dispone que entrará en vigor transcurridos 60 días contados desde la publicación del reglamento a que hace mención esta normativa."
21716,"Ley de Cumplimiento de Obligaciones Tributarias (Ley 21713),Código Tributario,Abusos Tributarios","La presente ley, asegura la ejecución de ciertas disposiciones contenidas en la Ley N° 21.713 y extiende los plazos para que los contribuyentes gestionen solicitudes de reconocimiento de activos en el extranjero, finalización de juicios tributarios y suscripción de convenios de pago.     Para tal efecto, modifica el literal a) del numeral 3 del artículo 1 que a su vez modifica el artículo 4 ter del Código Tributario, eliminando la ambigüedad de la frase “total o parcialmente” y esclareciendo efectivamente cuándo hay abuso de las formas jurídicas.      Del mismo modo, modifica las fechas señaladas en los artículos transitorios, indicando que el sistema voluntario y extraordinario de declaración de bienes o rentas que se encuentran en el extranjero, comenzará desde el primer1 día del mes siguiente a la publicación de la presente ley, hasta el 31 de diciembre del mismo año.      En el mismo sentido, entre el primer día del mes siguiente a la publicación de la presente ley y el 30 de diciembre de 2024, los contribuyentes que mantengan gestiones judiciales pendientes ante Tribunales Tributarios y Aduaneros, Cortes de Apelaciones o Corte Suprema, ya sea por reclamos de giros o liquidaciones de tributos, podrán poner término por única vez a dichas gestiones, siempre que se hayan iniciado antes del 1 de enero del presente año.      A su vez, amplía el plazo respecto a las facilidades para el pago de cuotas periódicas, mensuales y sucesivas de aquellos impuestos adeudados o multas por incumplimiento administrativos, desde la fecha de la publicación de la ley, hasta noventa días posteriores de la publicación de la modificación de la presente ley N° 21.713, en relación al concepto de abuso en materia tributaria y a la vigencia de algunas de sus disposiciones.      También establece una disposición especial para la entrada en vigencia del artículo 16 de la Ley N° 21.713, el cual regula el arancel aduanero que se aplicará a las importaciones de hasta 500 dólares en envíos postales, encomiendas, entregas rápidas, entre otros. El objetivo es que este artículo entre en vigor de manera sincronizada con las modificaciones al IVA introducidas por la Ley 21.713, permitiendo una aplicación simultánea de ambos cambios.    Todo lo anterior tiene como propósito precisar la vigencia de las disposiciones de la Ley N° 21.713, aclarar los plazos y reforzar aspectos relacionados con el cumplimiento de la obligación tributaria frente a posibles abusos en materia tributaria.       Finalmente, esta ley entró a regir retroactivamente el 31 de octubre de 2024."
21707,"Educación Superior,Deudas arancelarias,Universidades,Institutos Profesionales,Estudiantes de Educación Superior,Centros de Formación Técnica,Titulación,Exámenes de Grado","La presente ley reemplaza el literal e) del artículo 55 de la ley N° 21.091, sobre Educación Superior, con el objeto de impedir que las instituciones de educación superior exijan el pago de deudas arancel como condición para permitir la rendición de exámenes de grado o de titulación, o para otorgar títulos, diplomas o certificaciones. Esta prohibición aplica incluso si la institución lo ha establecido en su reglamento e informado al estudiante al firmar el contrato respectivo."
21703,"Bomberos de Chile,Cementerios,Código Sanitario,Crematorios,Funerarias,Romerías,Ceremonias Fúnebres","La presente ley modifica el artículo 136 del Código Sanitario con el propósito de permitir la realización de ceremonias fúnebres y romerías nocturnas para integrantes de los Cuerpos de Bomberos de Chile u otras instituciones que lo requieran, previa autorización de la autoridad sanitaria.     Para estos efectos, la ley establece que los establecimientos mencionados en la disposición citada, tales como cementerios, crematorios, casas funerarias y otros similares, deberán incluir en sus reglamentos internos un horario de funcionamiento extraordinario para dichos fines."
21699,"Cuotas anuales de captura,Ley General de Pesca y Acuicultura,Pesca Artesanal,Régimen Artesanal de Extracción","La presente ley tiene por objeto establecer una excepción a la ley N° 18.892, General de Pesca y Acuicultura, cuyo texto refundido, coordinado y sistematizado fue fijado por el decreto Nº 430, de 1991, del Ministerio de Economía, Fomento y Reconstrucción, en materia de remanente no consumido de cuotas anuales de captura para los recursos y regiones que indica, con el fin de asegurar una mayor flexibilidad en la utilización de estas cuotas, evitando el desperdicio de los remanentes, pero con límites para proteger la sostenibilidad de las pesquerías.     En este sentido, se incorpora una excepción en el párrafo primero de la letra c) del artículo 3 de la Ley General de Pesca y Acuicultura,  que establece que los remanentes de cuota no consumidos por la pesca artesanal durante el año 2023 para los recursos sardina común, sardina austral y anchoveta, desde la Región de Arica y Parinacota a la Región de Los Lagos, y merluza austral, entre las regiones de Los Lagos y Aysén, podrá ser extraídos -previo diagnóstico fundado por informe técnico emanado por la Subsecretaría de Pesca y Acuicultura, en base a los informes de evaluación del Instituto de Fomento Pesquero y refrendado por decreto exento- en las siguientes condiciones:- Dentro de los cuarenta y cinco días efectivos de captura siguientes al inicio de las temporadas respectivas del año siguiente o desde la publicación de esta ley, según proceda, siempre y cuando que la pesquería no haya sido declarada en condiciones de agotamiento o colapso por el comité científico. Sin embargo, traspaso de remanentes no podrá superar el 20% de la cuota global del año anterior.- Dentro de los treinta días efectivos de captura al inicio de la temporada siguiente, si son pesquerías sobreexplotadas sólo se podrá extraer el remanente de cuota y no podrá superar el 15% de la cuota global del año anterior.     Finalmente, se indica que si existe remanente las capturas efectuadas en el año antes de la entrada en vigencia de la presente ley y las que se realicen desde su publicación imputarán automáticamente por parte de Sernapesca a dicho remanente y, sólo una vez consumido o vencido el plazo anterior para su captura, se imputarán al año calendario en curso. Dichas reglas serán igualmente aplicables en los casos en que la fracción artesanal de la cuota global se encuentre sometida al Régimen Artesanal de Extracción."
21697,"Día Nacional de la Concientización sobre la Vasculitis (15 de mayo),Días Nacionales,Enfermedades Inflamatorias,Vasculitis,Vasos Sanguíneos","La presente ley tiene como finalidad establecer el día 15 mayo de cada año, como el día nacional destinado a la concientización sobre la Vasculitis.     Esta enfermedad es un grupo diverso de enfermedades sistemáticas caracterizadas por la inflamación y daño de los vasos sanguíneos, afectando principalmente al aparato digestivo, oídos, ojos, manos, pies, pulmones, riñones y piel.     Entre sus síntomas se encuentra la fiebre, molestias y dolores generales, artritis, perdida de la visión, perdida de la audición, hemorragias, fatiga, pérdida de peso, úlceras gástricas, alteraciones de la piel como manchas, heridas y úlceras.     Según se desprende del proyecto que dio origen a esta ley, busca aumentar la visibilidad de la enfermedad, educar sobre los derechos de los pacientes y promover la detección y diagnóstico oportuno. También destaca la necesidad de mejorar el acceso a tratamientos más eficaces, ya que actualmente la vasculitis no está incluida en las Garantías Explícitas en Salud (GES) ni en la ley Ricarte Soto."
